,0
1832,8.07
1833,3.85
1834,14.77
1835,1.655
1836,27.725
1837,12.4
1838,44.65
1839,10.01
1840,98.9
1841,0.7336
1842,12.22
1843,0.86
1844,0.7084
1845,8.28
1846,20.0
1847,10.43
1848,21.0
1849,50.34
1850,29.26
1851,2.71
1852,11.9
1853,51.91
1854,1.19
1855,23.8
1856,37.29
1857,43.48
1858,11.96
1859,0.173
1860,25.54
1861,73.74
1862,54.08
1863,121.46
1864,35.53
1865,37.55
1866,105.18
1867,1.91
1868,10.55
1869,67.95
1870,30.45
1871,60.97
1872,31.16
1873,18.7
1874,1.9
1875,24.8
1876,17.01
1877,35.15
1878,2.49
1879,48.89
1880,4.48
1881,24.77
1882,16.16
1883,11.25
1884,49.72
1885,6.42
1886,35.24
1887,10.15
1888,67.18
1889,24.97
1890,2.08
1891,5.77
1892,19.54
1893,3.67
1894,20.25
1895,26.28
1896,1.72
1897,9.73
1898,41.64
1899,61.5
1900,203.51
1901,23.95
1902,20.0
1903,1.6999
1904,3.3
1905,24.64
1906,87.94
1907,194.33
1908,88.22
1909,15.91
1910,5.72
1911,215.42
1912,0.9
1913,20.17
1914,27.38
1915,15.96
1916,11.89
1917,13.36
1918,77.0
1919,83.76
1920,4.49
1921,28.42
1922,26.68
1923,24.679
1924,15.83
1925,22.23
1926,56.3
1927,10.25
1928,12.88
1929,8.32
1930,14.2
1931,51.0567
1932,23.69
1933,32.02
1934,44.07
1935,18.18
1936,12.4
1937,87.16
1938,3.45
1939,33.03
1940,7.99
1941,94.8
1942,1.14
1943,18.44
1944,7.55
1945,34.25
1946,165.69
1947,12.13
1948,5.48
1949,59.64
1950,7.97
1951,70.43
1952,0.9775
1953,13.04
1954,102.23
1955,126.19
1956,95.8
1957,0.45
1958,51.5
1959,18.72
1960,12.45
1961,7.92
1962,3.2753
1963,2.74
1964,11.37
1965,1.11
1966,11.7
1967,15.25
1968,30.35
1969,10.1
1970,6.32
1971,28.54
1972,2.17
1973,132.49
1974,1.43
1975,591.15
1976,110.9
1977,287.72
1978,4.64
1979,34.98
1980,9.89
1981,6.94
1982,1.13
1983,3.98
1984,82.93
1985,60.68
1986,2.76
1987,0.2306
1988,58.91
1989,51.53
1990,13.81
1991,130.1
1992,12.66
1993,1.0599
1994,49.52
1995,127.75
1996,86.86
1997,1.56
1998,0.8735
1999,27.77
2000,14.05
2001,15.6
2002,43.94
2003,0.8903
2004,24.47
2005,12.09
2006,3.145
2007,62.09
2008,3.1999
2009,46.95
2010,3.54
2011,9.33
2012,27.19
2013,30.0
2014,7.892
2015,81.95
2016,35.68
2017,28.17
2018,31.35
2019,25.55
2020,25.4
2021,24.2
2022,34.6
2023,14.63
2024,33.54
2025,22.29
2026,44.75
2027,1.43
2028,17.6
2029,1.13
2030,39.97
2031,2.46
2032,1.28
2033,58.23
2034,41.13
2035,13.91
2036,7.22
2037,87.2975
2038,7.0
2039,75.97
2040,20.1
2041,60.54
2042,119.75
2043,17.05
2044,29.16
2045,211.5
2046,11.92
2047,164.8
2048,27.27
2049,33.815
2050,5.06
2051,55.63
2052,28.86
2053,27.39
2054,7.21
2055,3.17
2056,52.75
2057,5.66
2058,16.44
2059,9.3
2060,28.78
2061,27.56
2062,30.35
2063,18.4
2064,149.68
2065,11.09
2066,9.83
2067,90.6
2068,13.7
2069,14.83
2070,7.72
2071,9.8
2072,23.76
2073,7.0
2074,18.5
2075,107.95
2076,43.25
2077,28.1695
2078,8.08
2079,1.74
2080,17.13
2081,19.05
2082,1.33
2083,26.3
2084,5.68
2085,47.97
2086,8.85
2087,273.79
2088,7.45
2089,32.88
2090,31.23
2091,41.34
2092,16.42
2093,22.67
2094,12.82
2095,22.26
2096,71.0
2097,14.81
2098,39.57
2099,1.34
2100,24.92
2101,6.49
2102,50.09
2103,18.33
2104,24.51
2105,66.5
2106,1.19
2107,40.85
2108,60.43
2109,0.31
2110,1.1
2111,13.21
2112,61.9464
2113,16.65
2114,8.07
2115,4.72
2116,27.45
2117,3.44
2118,10.0
2119,22.39
2120,3.52
2121,180.79
2122,9.91
